variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
sob,Sea Water Salinity at Sea Floor,psu,,,,y,,,,,,,,,,,,,,y,y,,,,,,
mlotstmin,Ocean Mixed Layer Thickness Defined by Sigma T,m,,,,y,,,,,,,,,,,,,,,y,,,,,,
mlotstmax,Ocean Mixed Layer Thickness Defined by Sigma T,m,,,,y,,,,,,,,,,,,,,,y,,,,,,
T_adx_2d,Vertically Integrated Advective Zonal Flux of Heat,W,,,,y,,,,,,,,,,,,,,,y,,,,,,
T_ady_2d,Vertically Integrated Advective Meridional Flux of Heat,W,,,,y,,,,,,,,,,,,,,,y,,,,,,
umo_2d,Ocean Mass X Transport Vertical Sum,kg s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
vmo_2d,Ocean Mass Y Transport Vertical Sum,kg s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
prlq,Rainfall Flux where Ice Free Ocean over Sea,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
prsn,Snowfall Flux where Ice Free Ocean over Sea,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
evs,Water Evaporation Flux Where Ice Free Ocean over Sea,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
friver,Water Flux into Sea Water From Rivers,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
wfo,Water Flux Into Sea Water,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
net_massout,"Net mass leaving the ocean due to evaporation, seaice formation",kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
net_massin,"Net mass entering ocean due to precip, runoff, ice melt",kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
sfdsi,Downward Sea Ice Basal Salt Flux,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfrainds,Heat content (relative to 0degC) of liquid+frozen precip entering ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfevapds,Heat Content (relative to 0degC) of Water Leaving Ocean via Evaporation and Ice Formation,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfrunoffds,Heat content (relative to 0C) of liquid+solid runoff into ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfsnthermds,Latent Heat to Melt Frozen Precipitation,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfsifrazil,Heat Flux into Sea Water due to Frazil Ice Formation,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
rlntds,Surface Net Downward Longwave Radiation,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hflso,Surface Downward Latent Heat Flux due to Evap + Melt Snow/Ice,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
hfsso,Surface Downward Sensible Heat Flux,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
